Geneid	length	lib13	lib14	lib15	lib16	lib17	lib18	lib19	lib20
DDB_G0293764	1953	0.0590676	0	0.00371044	0	0.0432793	0	0.0675509	0
DDB_G0293766	486	6.91866	4.54536	3.78538	3.23616	1.34334	1.27883	0.788618	1.04004
DDB_G0293768	1668	5.88336	4.243	86.0001	93.8042	79.628	99.2115	58.6753	50.5089
DDB_G0293770	3258	11.4913	8.80862	45.7214	54.1213	49.3056	51.5939	38.9734	31.4646
DDB_G0293772	2517	0.653915	0.308173	1.73346	2.24597	1.24031	1.4829	1.28764	1.04993
DDB_G0293774	1518	0.870512	0.683789	1.21976	1.59085	0.644707	0.564789	0.16484	0.31209
DDB_G0293776	234	0	0	0	0	0	0	0	0
DDB_G0293778	423	3.74073	1.22684	2.28372	2.54044	0.720021	0.729691	2.21592	1.75306
DDB_G0293780	213	0	0	0	0	0	0	0	0
DDB_G0293782	2292	0.150688	0.0932141	0.267282	0.294749	0.0170046	0.0167117	0.0236834	0.0233044
DDB_G0293784	819	21.9639	22.6823	118.102	146.418	63.8675	45.6307	9.9468	8.17879
DDB_G0293786	834	0	0	0	0	0.0898554	0.174823	1.93903	2.28904
DDB_G0293788	384	1.32741	1.6168	1.74182	1.56165	1.86582	3.27797	1.82348	2.12621
DDB_G0293522	432	98.3269	71.1789	72.7651	110.087	28.0716	37.5707	25.4927	33.231
DDB_G0293524	3162	4.15924	3.74805	14.8757	15.3786	12.7357	13.5866	43.8453	55.4398
DDB_G0293526	579	54.0257	45.3845	262.018	291.64	434.959	408.041	380.397	342.292
DDB_G0293528	990	3.28223	3.30636	22.8139	28.3682	19.5052	17.5361	9.3618	5.11355
DDB_G0293530	618	38.651	38.1138	165.347	179.699	253.476	198.475	51.8527	40.5921
DDB_G0293532	2796	9.75958	8.16798	54.6237	64.7097	59.2014	56.2	50.2224	60.4683
DDB_G0293534	3000	1.1944	0.77493	2.71366	3.88001	1.82184	1.9849	0.717709	1.03731
DDB_G0293536	1906	0.701428	0.476659	0.479119	0.54507	0.670998	0.938989	0.433971	0.439707
DDB_G0293538	2145	11.7166	13.2985	245.256	220.178	210.625	255.288	43.1495	50.4453
DDB_G0293540	630	93.2022	77.9429	383.416	412.81	218.824	224.904	33.1409	32.1479
DDB_G0293542	921	0.275695	0.509516	33.0947	42.8619	50.3476	43.5888	21.4575	23.2633
DDB_G0293544	6333	2.14282	1.12098	3.81121	4.55156	2.00537	2.43649	1.1561	1.2363
DDB_G0293546	2070	1.2939	1.16642	2.75155	2.65372	2.65292	2.98088	0.725928	0.766657
DDB_G0293548	1998	0.686294	0.553062	0.801646	1.00161	0.298339	0.361315	0.175168	0.172503
DDB_G0293550	3657	0	0.00467467	0	0.00536607	0	0	0	0
DDB_G0293552	2034	15.3596	14.3383	49.2615	51.1963	35.5952	37.7251	25.9989	20.1115
DDB_G0293554	1506	4.37005	3.89198	15.5582	18.132	13.3641	13.4127	8.6921	9.46465
DDB_G0293556	903	23.8122	21.4719	3.71421	3.44782	2.19409	1.98123	5.84664	6.43864
DDB_G0293558	1698	526.491	493.896	308.216	283.71	170.18	152.788	183.048	211.107
DDB_G0293560	3393	2.42258	2.42094	1.75309	0.9653	0.347645	0.276974	0.595865	0.732692
DDB_G0293562	1584	1.82041	1.98692	0.348194	0.408884	0.130359	0.0511327	0.120568	0.166169
DDB_G0293564	672	4.50555	2.13464	5.09407	4.18347	8.86454	6.36085	0.450954	0.445169
DDB_G0293566	651	48.3834	43.1086	24.1991	17.1403	13.8943	13.2147	14.1414	11.0377
DDB_G0293708	333	40.8459	23.8453	629.275	843.14	694.264	464.386	327.176	229.131
DDB_G0293570	4062	1.27743	0.765144	1.34497	0.969554	0.154677	0.165744	0.576535	0.925405
DDB_G0293572	390	7.20002	2.92677	35.2328	40.242	8.51569	2.82617	1.0352	4.52037
DDB_G0293574	210	0	0	1.40212	1.62952	3.80946	3.57178	79.8384	70.8396
DDB_G0293576	891	5.51668	4.0672	2.36302	1.62918	0.845151	0.690434	1.1959	1.12982
DDB_G0293578	1986	0	0	5.46645	2.87569	0.490306	0.589609	0.0742318	0.0821866
DDB_G0293580	525	18.1179	9.31163	134.87	187.314	150.128	128.423	25.4495	20.3632
DDB_G0293582	744	3.74476	2.76978	16.3541	17.8333	5.4279	5.19712	1.83531	1.55657
DDB_G0293584	1509	7.22033	5.50878	13.982	12.3694	8.57955	7.42173	6.97245	6.27359
DDB_G0293586	6045	4.63994	3.59093	20.7449	30.5809	14.6507	15.4949	12.8767	18.5177
